document_id	paragraph_id	sentence_id	source_sentence	target_sentence
KUL/A5AEE3E9321932D8B6D64402FFD5859F	1	1	【表紙】《題：神昌丸漂流問答》《題：神昌丸漂流問答》　漂民御覧之記	《題：神昌丸漂流問答》漂流民の記録を御覧あれ
KUL/A5AEE3E9321932D8B6D64402FFD5859F	1	2	寛政五癸丑年九月十八日吹上之御物見にをいて去る天明二壬寅年十二月十三日勢州白子を出船致其夜は駿州沖にて俄に大風吹出所々漂着致し	寛政5年（1793年）9月18日、吹上での御物見において、去る天明2年（1782年）12月13日に勢州白子を出船したこと——その夜は駿州沖で俄かに大風が吹き出し、所々に漂着いたし——
KUL/A5AEE3E9321932D8B6D64402FFD5859F	1	3	同三癸卯年七月廿日／魯西亜（ヲロシヤ）の属国（ゾクシマ）アミシツカと言地に漂着致し	天明3年（1783年）7月20日、ロシアの属領であるアムチトカという地に漂着いたし。
KUL/A5AEE3E9321932D8B6D64402FFD5859F	1	4	夫ゟカムサツカオホツカイルカウツカ抔と言地を径暦し欧羅巴（ヨウロハ）洲成る魯西亜国の都え出女帝え見（まみ）えて径暦の許しを請去年九月三日蝦夷のコモロと云地迄彼の国の船にて送り帰されたる神昌丸之船頭大黒屋幸太夫同磯吉と申水主成る者	そこからカムチャツカ・オホーツク・イルクーツクなどという土地を経由し、ヨーロッパ州にあるロシア国の都に出て女帝に謁見し、旅程の許可を得て——昨年9月3日、蝦夷のコモロという地まで彼の国の船で送り届けられた神昌丸の船頭・大黒屋幸太夫と、磯吉と申す水主である者。
KUL/A5AEE3E9321932D8B6D64402FFD5859F	1	5	上覧被遊御物見の正面には御簾を掛け御透見被遊候様に御座を設（もうけ）て右之方御入側には松平越中守加納遠江守平岡美濃守高井主膳正列座	上覧あそばされた御物見の正面には御簾を掛け、御透見あそばされるよう御座を設け、右の方の御入側には松平越中守・加納遠江守・平岡美濃守・高井主膳正が列座していた。
KUL/A5AEE3E9321932D8B6D64402FFD5859F	1	6	其前に張出しを構えには御小納戸頭取亀井駿河守小野河内守多記永寿院桂川甫周列座	その前に張り出しを構えた場所には、御小納戸頭取・亀井駿河守、小野河内守、多記永寿院、桂川甫周が列座していた。
KUL/A5AEE3E9321932D8B6D64402FFD5859F	1	7	是等曲事お尋訪すべき旨お命せらる	これらの不祥事を尋問調査すべき旨、御下命があった。
KUL/A5AEE3E9321932D8B6D64402FFD5859F	1	8	次に御目付中川勘三郎矢部彦五郎此両人は今日の執事也	次に、御目付の中川勘三郎と矢部彦五郎、この両名は本日の取り仕切り役である。
KUL/A5AEE3E9321932D8B6D64402FFD5859F	1	9	御座の御後には御小性御左之方には御小納戸群居（むれい）けり	玉座の後方には若年寄がおり、左側の方には小納戸役人たちが群れ集まっていた。
KUL/A5AEE3E9321932D8B6D64402FFD5859F	1	10	扨／白砂（しらす）に床几（しやうぎ）二脚お据える是は彼の二人の者の為にもふけたる也	さて、白砂に床几を二脚据えた。これは彼ら二人のために設けられたものである。
