document_id	paragraph_id	sentence_id	source_sentence	target_sentence
KUL/D29EFF95875AB4AE4E11DE69F6C15B75	1	1	《題：漂流一件上書》　漂流無人島より帰着之次第	『題：漂流一件報告書』　無人島漂流からの帰還の次第
KUL/D29EFF95875AB4AE4E11DE69F6C15B75	2	1	一私共儀奥州荒浜御城米積請として　罷越候積り用意仕候処	一、私どもは奥州荒浜の御城米を積み請け負う者として参るつもりで準備を整えておりましたが、
KUL/D29EFF95875AB4AE4E11DE69F6C15B75	2	2	船頭水主東海　廻り不案内ニ付忠八与申者船頭に相雇	船頭と水主は東海廻りの航路に不案内であったため、忠八という者を船頭に雇い、
KUL/D29EFF95875AB4AE4E11DE69F6C15B75	2	3	天明七未年十一月廿七日江戸川出帆仕	天明7年（未年）11月27日、江戸川を出帆した。
KUL/D29EFF95875AB4AE4E11DE69F6C15B75	2	4	同廿八日　相州浦賀御番所御改請	同月28日、相州浦賀の御番所で御改めを受け、
KUL/D29EFF95875AB4AE4E11DE69F6C15B75	2	5	同十二月二日ニ　同所出帆仕候処	同年12月2日に同じ場所から出帆したところ、
KUL/D29EFF95875AB4AE4E11DE69F6C15B75	2	6	日和あしく翌三日三崎へ　入津仕	天候が悪かったため、翌3日に三崎へ入港した。
KUL/D29EFF95875AB4AE4E11DE69F6C15B75	2	7	順風にて九十九里灘走り候処	順風に乗って九十九里灘を走ったところ、
KUL/D29EFF95875AB4AE4E11DE69F6C15B75	2	8	犬房之鼻ニ而	犬房の鼻に差し掛かった際、
KUL/D29EFF95875AB4AE4E11DE69F6C15B75	2	9	同夜七ツ時ころより風模様相替り	その夜午前4時ごろから風向きが変わり、
KUL/D29EFF95875AB4AE4E11DE69F6C15B75	2	10	北風大時化に罷成	北風による大時化となった。
KUL/D29EFF95875AB4AE4E11DE69F6C15B75	2	11	風浪あらく船持こたへかたく候ニ付	風浪が荒れ、船が耐えきれなくなったため、
KUL/D29EFF95875AB4AE4E11DE69F6C15B75	2	12	檣伐乗組之者不残髪をはらひ仏神江心願仕	帆柱を切り倒した乗組員全員が髪を切り払い、仏神に祈願を捧げた。
KUL/D29EFF95875AB4AE4E11DE69F6C15B75	2	13	風次第ニ相成方角を失ひ罷在候処	風任せで方角を見失い、
KUL/D29EFF95875AB4AE4E11DE69F6C15B75	2	14	夜ニ入楫を痛メ外艫を払われ	夜に入って舵を損傷し船尾を流されたため、
KUL/D29EFF95875AB4AE4E11DE69F6C15B75	2	15	前後の弁なく相流十方失ひ	前後もわからず漂流し、方角全てを見失った。
KUL/D29EFF95875AB4AE4E11DE69F6C15B75	2	16	月日もわからす候得ども	月日もわからぬまま、
KUL/D29EFF95875AB4AE4E11DE69F6C15B75	2	17	凡五六十日も海上に罷在候	およそ50日から60日もの間、海上を漂い続け、
KUL/D29EFF95875AB4AE4E11DE69F6C15B75	2	18	水切ニ相なり	ついに船体に浸水するに至った。
KUL/D29EFF95875AB4AE4E11DE69F6C15B75	3	1	天水斗ニ而相凌候飯米之義ハ江戸表にて白米五俵積入候間初の内者相応ニ食事仕候得共日数嵩飯米も不足相成ニ付粥等ニいたし少々ツヽ給之東西弁えす漂流いたし罷在候処	天水だけでしのいでいた食料の米は、江戸で白米五俵を積み込んでいたため、最初のうちはそれなりに食事をとっていましたが、日数が経つにつれ米も不足したため、粥などにして少しずつ分け与えつつ、東西の見当もつかぬまま漂流を続けていたところ、
