document_id	paragraph_id	sentence_id	source_sentence	target_sentence
KUL/4A08DF5B87A3A41A3F27376A80357D08	1	1	【表紙】	
KUL/4A08DF5B87A3A41A3F27376A80357D08	1	2	【題簽】《題：南瓢記》	《題：南瓢記》
KUL/4A08DF5B87A3A41A3F27376A80357D08	2	1	【見返し】	
KUL/4A08DF5B87A3A41A3F27376A80357D08	2	2	【扉】南瓢記　其四冊	南瓢記　第四巻
KUL/4A08DF5B87A3A41A3F27376A80357D08	2	3	【右丁】	
KUL/4A08DF5B87A3A41A3F27376A80357D08	2	4	【蔵書印】九州帝國大學圖書印	九州帝国大学図書印
KUL/4A08DF5B87A3A41A3F27376A80357D08	2	5	【左丁】	
KUL/4A08DF5B87A3A41A3F27376A80357D08	3	1	洛陽に何かしと云人あり	京都にとある人物がいた。
KUL/4A08DF5B87A3A41A3F27376A80357D08	3	2	家に万巻の書を貯へ身に三教の理を究め	家に万巻の書を蓄え、身に三教の理を究め。
KUL/4A08DF5B87A3A41A3F27376A80357D08	3	3	諸国の騷客に出会種々の奇成を筆記し楽といへとも未異国の真説をしらさるを歎き	諸国から訪れる風変わりな客人と出会い、さまざまな奇妙な出来事を書き留めては楽しんでいたが、まだ異国の真実の説を知らないことを嘆いていた。
KUL/4A08DF5B87A3A41A3F27376A80357D08	3	4	六角堂尊像に祈誓し異国の風土を示し給ヘと一七日参籠しけるか	六角堂の尊像に祈誓し、異国の風土をお示しくださいと十七日間参籠したところ。
KUL/4A08DF5B87A3A41A3F27376A80357D08	3	5	満願の暁一人の童子現給ひ	満願の暁、一人の童子が現れなさった。
KUL/4A08DF5B87A3A41A3F27376A80357D08	3	6	善哉々【右丁】汝の誠心に愛願を叶へ得さすへし	「善きかな、善きかな。あなたの誠心に愛願を叶えてさしあげましょう。」
KUL/4A08DF5B87A3A41A3F27376A80357D08	3	7	爰に陸奥に仙人在常一つの瓢を持海を渡る時は瓢をはらまきとなし如何なる波濤をも恙なく凌き	ここに、みちのくに仙人がおり、常に一つの瓢箪を持って海を渡る時は、瓢箪を腹巻きとし、いかなる波濤も無事に凌いでおります。
KUL/4A08DF5B87A3A41A3F27376A80357D08	3	8	陸にある時は瓢の中より駒を出して打乗心の侭に飛行し	陸地にいるときは、瓢箪の中から馬を取り出し、打ち乗って思いのままに飛行するのである。
KUL/4A08DF5B87A3A41A3F27376A80357D08	3	9	此頃南海を廻り本国に帰れり	近ごろ南海を巡って本国に帰ってきた。
KUL/4A08DF5B87A3A41A3F27376A80357D08	3	10	依て人みな南瓢道人と呼	そこで、人々はみな南瓢道人と呼んだ。
KUL/4A08DF5B87A3A41A3F27376A80357D08	3	11	今幸都近き北白川【左丁】の山中にあり神通を以て此所に招かん	「今は幸いにも都に近い北白川の山中におり、神通力をもってこの場所にお招きするであろう。」
KUL/4A08DF5B87A3A41A3F27376A80357D08	3	12	懇に異国の風土を尋へしと宣ひ失給ふとおもヘは	「（あなたが）懇ろに異国の風土を尋ねようとおっしゃるならば。」
KUL/4A08DF5B87A3A41A3F27376A80357D08	3	13	忽然として白髪の老人瓢を持て出現し給へは	突然、白髪の老人が瓢箪を持って現れなさったので。
