document_id	paragraph_id	sentence_id	source_sentence	target_sentence
KUL/FB9916BCD4693B2A925684F97E418AE1	1	1	【右丁・文字なし】	
KUL/FB9916BCD4693B2A925684F97E418AE1	2	1	【左丁】	
KUL/FB9916BCD4693B2A925684F97E418AE1	3	1	私儀船働渡世仕両親養育仕候身分に御座候	私儀、船働きで生計を立て両親を養っておりまする身分にございます。
KUL/FB9916BCD4693B2A925684F97E418AE1	3	2	三ヶ年以前《割書：天保｜元年》寅三月備前岡山岩田町加賀屋金十郎所持之廻船千八百石積之水主に被相雇	三年前（天保元年）の寅の三月、備前岡山岩田町の加賀屋金十郎が所有する千八百石積みの廻船の水夫として雇われました。
KUL/FB9916BCD4693B2A925684F97E418AE1	3	3	同年七月下旬に松平伊豫守様より江戸表え御積廻し之御米千七百石并御家中之荷物積込上乗御役人并船頭水主左之通に御座候	同年七月下旬、松平伊豫守様より江戸表へのお積み回しとなるお米千七百石と、お家中の荷物を積み込むための上乗役人並びに船頭・水主は以下の通りでございました。
KUL/FB9916BCD4693B2A925684F97E418AE1	3	4	上乗御役人宇■甚助沖船頭五左衛門并かこ音吉 石五郎 片山栄蔵 仁三郎 栄吉 武三郎 弥市郎【彌市郎】 弥左衛門【彌左衛門】 由松 才次郎 弥吉文吉 利八 	上乗役人・宇■甚助、沖船頭・五左衛門、並びに下級水夫の音吉、石五郎、片山栄蔵、仁三郎、栄吉、武三郎、弥市郎、弥左衛門、由松、才次郎、弥吉、文吉、利八。
KUL/FB9916BCD4693B2A925684F97E418AE1	3	5	右之者備前出生　《割書：長州下関｜惣吉》 《割書：加州千里浜｜清蔵》《割書：藝州廣島｜伊勢次郎》　《割書：讃州津田湊｜　勝之助》 	右の者は備前の出身で（長州下関｜惣吉）（加州千里浜｜清蔵）（藝州廣島｜伊勢次郎）（讃州津田湊｜　勝之助）。
KUL/FB9916BCD4693B2A925684F97E418AE1	4	1	右之者八月三日頃にても御座候哉	右の者一同は8月3日頃のことでございましたでしょうか。
KUL/FB9916BCD4693B2A925684F97E418AE1	4	2	備前岡山出船仕	備前岡山から出航しました。
KUL/FB9916BCD4693B2A925684F97E418AE1	4	3	同国尻海浦え船掛り仕	同国の尻海浦へ船を寄港しました。
KUL/FB9916BCD4693B2A925684F97E418AE1	4	4	同廿日同所出船仕	同二十日、同所を出船しました。
KUL/FB9916BCD4693B2A925684F97E418AE1	4	5	同廿二日播州坂越之湊に船掛り仕り	同月22日、播州の坂越の湊に船を寄港しました。
KUL/FB9916BCD4693B2A925684F97E418AE1	4	6	同廿四日頃同所出船仕	同月24日頃、同所を出船しました。
KUL/FB9916BCD4693B2A925684F97E418AE1	4	7	同廿六日頃紀州由良之湊え船掛り仕り	同月26日頃、紀州の由良の湊に船を寄港しました。
KUL/FB9916BCD4693B2A925684F97E418AE1	4	8	同廿八日同所出船仕候処折節西風強相成	同月28日、同所を出船しましたところ、ちょうどその時、西風が強くなりました。
KUL/FB9916BCD4693B2A925684F97E418AE1	4	9	同夜同国汐之御崎へ着船仕候処登り潮強く日も相暮れ候て北風も交り沖中へ吹廻され	その夜、同国の汐ノ御崎へ着船しましたところ、上げ潮が強く日も暮れ、北風も交じって沖へと吹き流されました。
KUL/FB9916BCD4693B2A925684F97E418AE1	4	10	同廿九日夜迄に帆も破候程之儀も御座候処追々北風強く翌晦日朝五つ時頃ゟ荷打仕り何卒同国大嶌之湊へ入船仕り度色々相働候得共何分波風烈く近寄儀も相成不申候処	同月29日の夜までに帆も破れるほどのこともございましたところ、次第に北風が強くなり、翌月の晦日、明け方五つ時（午前4時頃）から荷物の固定作業を行い、どうか同国の大嶌の湊に入港したく、様々に働きかけましたが、しかしながら波風が激しく、近寄ることも叶わなかったので。
KUL/FB9916BCD4693B2A925684F97E418AE1	4	11	同八つ時頃 梶（かぢ）折申候に付何も当惑仕り打臥相働候者漸々三四人斗りに相成申候	同日の午後二時頃に舵が折れたため、何もかも当惑して横たわり働く者は、次第に三、四人ほどになってしまいました。
KUL/FB9916BCD4693B2A925684F97E418AE1	4	12	夫よりかじの替りに掛目百廿貫目之錠【碇？】を舳先えふせおき帆柱を切り捨彼是仕候内夜に入申候に付	それより舵の代わりに、重さ百二十貫目の錨を舳先に伏せ置き、マストを切り捨て、あれこれしているうちに夜に入りましたため、
KUL/FB9916BCD4693B2A925684F97E418AE1	4	13	猶船を取扱翌九月朔日より弥風強く波烈く御座候に付	なお船の取り扱いを続けましたが、翌9月1日からはますます風が強く波も激しくなりましたため。
KUL/FB9916BCD4693B2A925684F97E418AE1	5	1	無拠荷打仕り銘々抽丹誠神仏を祈念仕居候	もはや荷物の固定もできず、各自がひたすら神仏に祈りを捧げておりました。
KUL/FB9916BCD4693B2A925684F97E418AE1	5	2	内次第に東南え吹流され四方に一向山等も見不申候様に相成夫より二日斗東風吹申候	船内では次第に東南へと吹き流され、四方を見渡しても一向に山など見えぬ様子となり、それから二日ほど東風が吹きました。
KUL/FB9916BCD4693B2A925684F97E418AE1	5	3	又三四日斗りも西風吹申候	また三四日ほども西風が吹きました。
KUL/FB9916BCD4693B2A925684F97E418AE1	5	4	夫ゟ九月中は風定り不申候漂流仕居候に付方角も相分兼申候処十月上旬之頃北東風吹詰岸？汐にて次第々々に東南へ吹流され申候	それから九月中は風が定まらず漂流を続けておりましたため、方角も分からなくなっておりましたところ、十月上旬の頃、北東風が吹き詰め潮の流れで次第に東南へと吹き流されました。
KUL/FB9916BCD4693B2A925684F97E418AE1	5	5	九月下句頃ゟ水に渇申候処十月に入折々雨降候に付天水を請取凌申候	九月の下旬頃より水に渇き申しましたところ、十月に入り折々雨が降りましたので、雨水を受け取り凌ぎました。
KUL/FB9916BCD4693B2A925684F97E418AE1	5	6	十一月六日之晩七つ時分小島二つ相見候	十一月六日の夕方、四時頃に小さな島を二つ見えました。
KUL/FB9916BCD4693B2A925684F97E418AE1	5	7	右島之廻りを吹流され候節右《割書：｜【左に】石》成瀬有之候に付碇の綱を切レ申弥波風烈く相成 追々（・・　・・）夜に入候に付最早可及破船に哉と弥仏神を祈念仕候	右の島の周りを吹き流された際、左に岩礁があったため錨の綱を切り、ますます波風が激しくなり、次第に夜に入ったので、最早や破船は避けられまいと、いよいよ仏神に祈念いたしました。
KUL/FB9916BCD4693B2A925684F97E418AE1	5	8	内南へ十五里斗も吹流され翌七日夕七つ時分島へ吹付られ右島より二町斗沖岩組之上にて終に破船におよひ申候に付	船は南へ約十五里も吹き流され、翌七日の夕方四時頃に島へと吹き付けられ、右の島から約二町沖の岩礁の上でついに破船に至りました。
