document_id	paragraph_id	sentence_id	source_sentence	target_sentence
KUL/8715094AFB8C595BD371E13D35D1D5EC	1	1	難船人帰朝記難舩人帰朝記	難船人帰朝記 難船人帰朝記
KUL/8715094AFB8C595BD371E13D35D1D5EC	2	1	高岡郡宇佐浦　筆之丞事　傳蔵　當丑三十九歳	高岡郡宇佐浦の筆之丞こと傳蔵、丑年に三十九歳。
KUL/8715094AFB8C595BD371E13D35D1D5EC	2	2	同人弟　重介　〃　廿五歳	その弟、重介、二十五歳。
KUL/8715094AFB8C595BD371E13D35D1D5EC	2	3	同　五左衛門　〃　十六歳	同じく五左衛門、十六歳。
KUL/8715094AFB8C595BD371E13D35D1D5EC	2	4	同浦両濱　寅右衛門　〃　廿二歳	同じ浦の両浜の寅右衛門、二十二歳。
KUL/8715094AFB8C595BD371E13D35D1D5EC	2	5	幡多郡中濱浦  　万二【次】郎　〃　十五歳	幡多郡中浜浦の万次郎、十五歳。
KUL/8715094AFB8C595BD371E13D35D1D5EC	3	1	右之者共宇佐浦伝蔵所持之小舩を以テホタ《割書：一名｜沖鯨と云》釣漁業の為舩に飯米弐斗水薪等積入天保十二丑年正月五日朝四時宇佐浦出帆而津崎迄来掛す	右の者どもは宇佐浦の伝蔵が所持する小舟をもってホタ（別名を沖鯨という）釣漁業のため、船に飯米2斗・水・薪などを積み込み、天保12年（1841年）丑年正月5日朝4時に宇佐浦を出帆し、津崎まで来掛けす。
KUL/8715094AFB8C595BD371E13D35D1D5EC	3	2	一　同六日右出帆南沖江乗出し拼縄にて小魚少々釣揚件之岬なる白濱に掛り　夜を明ス	一、同6日、右の出帆で南沖へ乗り出し、投げ縄で小魚を少し釣り上げ、件の岬にある白浜に掛かり夜を明かす。
KUL/8715094AFB8C595BD371E13D35D1D5EC	3	3	一　同七日早朝地嵐に沖の方江乗出し行内風泙類船二十艘程有之其船々　は沖高く乗出せとも伝蔵船は艪手弱き故足摺山より六七里計沖合にて　縄を拼て鯖を釣揚る場合昼頃押風吹出しけれは縄を揚帆にて地方へ   　寄んとする	一、同7日早朝、地嵐（山から海へ吹き下ろす風）の中を沖へ乗り出した。風待ちの漁船二十艘ほどがいたが、その船々は沖合い深く出ていたのに対し、伝蔵の船は艪を扱う者が未熟だったため、足摺山から六七里ほどの沖合で縄を投げて鯖を釣り上げていた。昼頃に西風が吹き始めると、縄を回収し帆を揚げて陸地へ向かおうとした。
KUL/8715094AFB8C595BD371E13D35D1D5EC	3	4	又泙になる拼縄に掛る所に此西風は吹出し波上以の外あしき故　拼縄半分は切捨ル	また、投げ縄を仕掛けていたところにこの西風が吹き出し、波の状態が格段に悪くなったため、投げ縄の半分を切り捨てる。
