document_id	paragraph_id	sentence_id	source_sentence	target_sentence
KUL/8AA7960ABDB24EA0016EB4F764643D5C	1	1	【表紙・題箋】波丹国漂流人覚書	『バタン国漂流人覚書』
KUL/8AA7960ABDB24EA0016EB4F764643D5C	1	2	波丹国漂流人覚書	バタン国漂流人覚書
KUL/8AA7960ABDB24EA0016EB4F764643D5C	1	3	波丹（パタン）江漂流記	バタン（パタン）江漂流記
KUL/8AA7960ABDB24EA0016EB4F764643D5C	1	4	波丹ハ巴且（バタン）也	波丹は巴且（バタン）である。
KUL/8AA7960ABDB24EA0016EB4F764643D5C	1	5	天竺応帝亜（テンヂクヲヽテイア）之属島也	天竺応帝亜（テンヂクヲヽテイア）の属島である。
KUL/8AA7960ABDB24EA0016EB4F764643D5C	2	1	尾州知多郡大野木下町横田孫左衛門と申者の商估船に材木を積人数十五人乗也	尾州知多郡大野木下町の横田孫左衛門という者の商船に材木を積み、人数十五人が乗っていた。
KUL/8AA7960ABDB24EA0016EB4F764643D5C	2	2	寛文八年申九月大野を出船致し同中旬に江戸表江着船	寛文8年（1668年）申の9月に大野を出船し、同月中旬に江戸表江に着船した。
KUL/8AA7960ABDB24EA0016EB4F764643D5C	2	3	則船町問屋井口久左衛門と申者支配ニ而荷物諸方江相渡候	すなわち船町の問屋・井口久左衛門という者の管理のもと、荷物を諸方へ引き渡した。
KUL/8AA7960ABDB24EA0016EB4F764643D5C	2	4	而船ニハ飯米三石計り積	そして船には飯米三石ほどを積んでいた。
KUL/8AA7960ABDB24EA0016EB4F764643D5C	2	5	尾張様御材木数千本積其外ニ千賀志广殿同与八郎殿の荷物を積	尾張様の御材木を数千本積み、その他に千賀志広殿、同じく与八郎殿の荷物を積んでいた。
KUL/8AA7960ABDB24EA0016EB4F764643D5C	2	6	同十月下旬ニ江戸表出船伊豆国下田迄参	同年10月下旬に江戸を出船し、伊豆国下田まで到着した。
KUL/8AA7960ABDB24EA0016EB4F764643D5C	2	7	十一月四日下田を出船	11月4日に下田を出船した。
KUL/8AA7960ABDB24EA0016EB4F764643D5C	2	8	同五日三州片浜之内大山ゟ三里程も沖江参り候処折節申酉風強く	同じ五日、三州片浜の内大山から三里ほど沖合に到着したところ、折から西風が強く吹き、
