document_id	paragraph_id	sentence_id	source_sentence	target_sentence
KUL/AB92BF35612C7625D6CEE2A1956DCE26	1	1	【題箋】志州鳥羽流船留書志州鳥羽流船留書	志州鳥羽流船留書志州鳥羽流船留書
KUL/AB92BF35612C7625D6CEE2A1956DCE26	1	2	【右丁】	
KUL/AB92BF35612C7625D6CEE2A1956DCE26	1	3	【蔵書印二つ】	
KUL/AB92BF35612C7625D6CEE2A1956DCE26	1	4	【左丁・白紙】 	
KUL/AB92BF35612C7625D6CEE2A1956DCE26	2	1	志州鳥羽湊にて流船留書	志州（ししゅう）鳥羽湊にて流船留書（りゅうせんとめがき）
KUL/AB92BF35612C7625D6CEE2A1956DCE26	2	2	宝暦七年丑九月	宝暦七年（1757年）丑九月
KUL/AB92BF35612C7625D6CEE2A1956DCE26	3	1	志州船頭小平治船吹流され	志州の船長・小平治の船が吹き流され、
KUL/AB92BF35612C7625D6CEE2A1956DCE26	3	2	外国ゟ長崎へ送り被帰	外国から長崎へ送り返された。
KUL/AB92BF35612C7625D6CEE2A1956DCE26	3	3	鳥羽御役人向井金右衛門【＊】　請取被致帰国候	鳥羽の御役人・向井金右衛門が引き取られ、帰国した。
KUL/AB92BF35612C7625D6CEE2A1956DCE26	4	1	小平治口書	小平治口述書
KUL/AB92BF35612C7625D6CEE2A1956DCE26	5	1	一	一
KUL/AB92BF35612C7625D6CEE2A1956DCE26	5	2	志州布施田村船頭小平治六人乗り船大坂表え　荷物品々積伊勢之内に入り志州大尾崎と申所　迄参り	志州布施田村の船頭・小平治が指揮する六人乗りの船は、大坂の港へ荷物を様々に積み、伊勢の内海に入り、志州の大尾崎という場所まで到着しました。
KUL/AB92BF35612C7625D6CEE2A1956DCE26	5	3	九月十五日寅の刻より大雨風落し候て	九月十五日の寅の刻（午前四時頃）から大雨と強風が吹き降り、
KUL/AB92BF35612C7625D6CEE2A1956DCE26	5	4	何国ともしらす吹流され	どこの国とも知れぬまま吹き流され、
KUL/AB92BF35612C7625D6CEE2A1956DCE26	5	5	十五日之間一日に百里づゝも【第２３コマでは八郎右衛門と読める。】【『志州鳥羽船頭外国江吹流し候一件』２６コマでは金左衛門と読める。】　走り候様に覚申候	十五日の間、一日に百里ずつも流され続けたように覚えました。
KUL/AB92BF35612C7625D6CEE2A1956DCE26	5	6	日数多御座候	日数が大変多くございました。
KUL/AB92BF35612C7625D6CEE2A1956DCE26	5	7	兎角東え〳〵行　其内北に当り大島小島ともに五六ヶ所も相見え申候	とにかく東へ東へと進むうちに、北の方角に当たり、大きな島も小さな島も合わせて五、六ヶ所ほど見えました。
