document_id	paragraph_id	sentence_id	source_sentence	target_sentence
KUL/B29F0AA313BA4D8787230EC2DC9A6F97	1	1	【表紙】	
KUL/B29F0AA313BA4D8787230EC2DC9A6F97	1	2	【右丁	
KUL/B29F0AA313BA4D8787230EC2DC9A6F97	1	3	蔵書印	
KUL/B29F0AA313BA4D8787230EC2DC9A6F97	1	4	九州帝国大学図書館】	
KUL/B29F0AA313BA4D8787230EC2DC9A6F97	1	5	【左丁】	
KUL/B29F0AA313BA4D8787230EC2DC9A6F97	2	1	【朱書き】嘉永年中万次郎語	嘉永年間に万次郎が語った記録
KUL/B29F0AA313BA4D8787230EC2DC9A6F97	3	1	此漂客土州吾川郡宇佐浦漁人伝蔵同人弟五右衛門同州　幡多郡中ノ浜万治郎宇佐浦寅右衛門重助都合五人	この漂流者たちは、土佐の国吾川郡宇佐浦の漁師・伝蔵とその弟五右衛門、同じく土佐の国幡多郡中ノ浜の万次郎、宇佐浦の寅右衛門、重助の都合五人である。
KUL/B29F0AA313BA4D8787230EC2DC9A6F97	3	2	天保十二年丑正月五日漁船ニ取乗宇佐浦を漕出し七日迄　漁事致し居候処	天保十二年（1841年）丑の正月五日、漁船に乗り宇佐浦を漕ぎ出し、七日まで漁を行っていたところ、
KUL/B29F0AA313BA4D8787230EC2DC9A6F97	3	3	俄にカナセト申風吹発り辰巳ノ方へ吹流　サレ十三日晩方無人嶋へ着候得共	俄にカナセトと申す風が吹き起こり、辰巳の方へ吹き流され、十三日の晩方に無人島へ着いたものの、
KUL/B29F0AA313BA4D8787230EC2DC9A6F97	3	4	船破候間是非なく水草　ヲ尋其嶋に数日罷在	船が破損したため、やむなく水や草を求めてその島に数日間滞在した。
KUL/B29F0AA313BA4D8787230EC2DC9A6F97	3	5	其間魚貝并「トウクロフ」ト云鳥ヲ食　用トナス	その間、魚や貝、そして「トウクロフ」という鳥を食用とした。
KUL/B29F0AA313BA4D8787230EC2DC9A6F97	3	6	其艱難辛苦云計ナシ	その苦難や苦労は言いようがないほどだった。
KUL/B29F0AA313BA4D8787230EC2DC9A6F97	3	7	春過キ夏来リテ六月ト覚　候頃三日月を拝ミテヨリ二日計り後ノ朝万次郎辰巳ノ方ニ而帆影ヲ見付	春が過ぎ夏が来て六月かと思われる頃、三日月を目印にしてから二日ほど後の朝、万次郎は辰巳の方角で帆影を見つけた。
KUL/B29F0AA313BA4D8787230EC2DC9A6F97	3	8	一同神仏を祈念し漸く彼船近くナルマヽニ声を揚て指招き候処	一同が神仏に祈りをささげ、やがてその船が近づくにつれ、声を張り上げて手招きしたところ、
KUL/B29F0AA313BA4D8787230EC2DC9A6F97	3	9	聞入シにや漕寄て助ケ乗られ候	聞き入れたのか、漕ぎ寄せて救助して乗せてくれた。
KUL/B29F0AA313BA4D8787230EC2DC9A6F97	3	10	将此舟ハ黒船にて北西墨利加「マサツーツ」ト申処鯨船にて船主ノ名ハ「フイチセル」ト申者に候	この船は黒船で、北西アメリカの「マサチューセッツ」という所の捕鯨船であり、船主の名は「フイチセル」と申す者でございます。
KUL/B29F0AA313BA4D8787230EC2DC9A6F97	3	11	夫ヨリ大洋中所々鯨漁イタシ同十一月「サンライス」諸島中「ウツホー」と申嶋「ハナロ」ノ湊へ舶着イタシ候	その後、大洋の中で所々で捕鯨を行い、同じ十一月に「サンドウィッチ」諸島の中の「ハワイ」という島の「ホノルル」の港に到着しました。
KUL/B29F0AA313BA4D8787230EC2DC9A6F97	3	12	此時万次郎十四才ナリ	この時、万次郎は十四歳であった。
KUL/B29F0AA313BA4D8787230EC2DC9A6F97	3	13	「フイチセル「所望にて本国へ可連行ト談合有之	「フイチセル」の希望により、本国へ連れて行くことについて話し合いがあった。
KUL/B29F0AA313BA4D8787230EC2DC9A6F97	4	1	重助ハ病死仕候	重助は病死しました。
KUL/B29F0AA313BA4D8787230EC2DC9A6F97	5	1	残伝蔵五右衛門寅右衛門三人ハ「フイチセル」世話にて其所ニ止り百姓日雇等仕居候	残った伝蔵、五右衛門、寅右衛門の三人は、「フイチセル」の世話でその地に留まり、百姓や日雇い仕事などをしていました。
KUL/B29F0AA313BA4D8787230EC2DC9A6F97	5	2	内「キヤンフンカトコン」ト申者鯨漁ニ日本近海へ出候よしニ付三人便船イタシ所々経歴仕り松前領迄参り上陸イタシ候得共	内「キヤンフンカトコン」と申す者が鯨漁で日本近海へ出る由に付き、三人は便船を頼み所々を経て松前領まで参り上陸いたしましたが、
KUL/B29F0AA313BA4D8787230EC2DC9A6F97	5	3	更に人跡無之土地ニ付又々便宜も可有之	さらに人跡未踏の土地であったため、またしても便宜を図ることもできず。
KUL/B29F0AA313BA4D8787230EC2DC9A6F97	5	4	一ト先此度は帰舟可然と「キヤンフンカトコン」申ニ付無拠船に乗又々漁取歩行候内日ノ光ヲ不見事四十日計	ひとまず今回こそは帰国の船が適当だろうと「キヤンフンカトコン」に申し出たため、やむなく船に乗り、また漁や歩行をしているうちに日の光を見ないこと四十日ほど。
KUL/B29F0AA313BA4D8787230EC2DC9A6F97	5	5	夫ヨリ南海へ乗出シ十月比「ウツホー」へ帰帆致候	その後、南海へ乗り出し、十月ごろ「ハワイ」へ帰港した。
KUL/B29F0AA313BA4D8787230EC2DC9A6F97	6	1	万次郎義は「フイチセル」ニ随へ南海へ乗出シ「キンシメリロ」ト申無人島ゟ寅三月「キユトエ」と申所に着船夫ゟ日本ノ沖百里計ノ所ニ而鯨漁仕り	万次郎義は「フイチセル」に従い南海へ乗り出し、「キンシメリロ」という無人島から寅三月に「キユトエ」という場所に着船し、船員たちと日本の沖百里ほどの所で捕鯨を行った。
