document_id	paragraph_id	sentence_id	source_sentence	target_sentence
KUL/5A338924A4E196CACF5BCC7BBA756EE0	1	1	【表紙】唐泊り孫七物語	唐泊り孫七物語
KUL/5A338924A4E196CACF5BCC7BBA756EE0	1	2	【右丁】【鉛筆で書込み・国史第一　(松浦)　¥300-　2C】	
KUL/5A338924A4E196CACF5BCC7BBA756EE0	1	3	【左丁】唐泊り孫七物語	唐泊り孫七物語
KUL/5A338924A4E196CACF5BCC7BBA756EE0	1	4	【右丁】【蔵書印・九州大学図書】	
KUL/5A338924A4E196CACF5BCC7BBA756EE0	1	5	【蔵書印・九州大学図書館 /昭和29.7.10 / 214457 】	
KUL/5A338924A4E196CACF5BCC7BBA756EE0	2	1	【左丁】伊勢丸乗組人数	伊勢丸乗組員数
KUL/5A338924A4E196CACF5BCC7BBA756EE0	2	2	青柳文八忰	青柳文八の息子
KUL/5A338924A4E196CACF5BCC7BBA756EE0	2	3	船頭《割書：十九才》十右衛門	船頭（19歳）十右衛門
KUL/5A338924A4E196CACF5BCC7BBA756EE0	2	4	親父分	親父分
KUL/5A338924A4E196CACF5BCC7BBA756EE0	2	5	仁兵衛	仁兵衛
KUL/5A338924A4E196CACF5BCC7BBA756EE0	2	6	夷華九年録	夷華九年録
KUL/5A338924A4E196CACF5BCC7BBA756EE0	2	7	梶取	操舵手
KUL/5A338924A4E196CACF5BCC7BBA756EE0	2	8	新七	新七
KUL/5A338924A4E196CACF5BCC7BBA756EE0	2	9	水夫	船員
KUL/5A338924A4E196CACF5BCC7BBA756EE0	2	10	金兵衛	金兵衛
KUL/5A338924A4E196CACF5BCC7BBA756EE0	2	11	同	同上
KUL/5A338924A4E196CACF5BCC7BBA756EE0	2	12	市三郎	市三郎
KUL/5A338924A4E196CACF5BCC7BBA756EE0	2	13	同	同上
KUL/5A338924A4E196CACF5BCC7BBA756EE0	2	14	幸五郎	幸五郎
KUL/5A338924A4E196CACF5BCC7BBA756EE0	2	15	【右丁】　同	同上
KUL/5A338924A4E196CACF5BCC7BBA756EE0	2	16	藤蔵	藤蔵
KUL/5A338924A4E196CACF5BCC7BBA756EE0	2	17	同	同上
KUL/5A338924A4E196CACF5BCC7BBA756EE0	2	18	定五郎	定五郎
KUL/5A338924A4E196CACF5BCC7BBA756EE0	2	19	同	同上
KUL/5A338924A4E196CACF5BCC7BBA756EE0	2	20	長太	長太
KUL/5A338924A4E196CACF5BCC7BBA756EE0	3	1	同　《割書：廿才》八次郎	同上（二十歳）八次郎
KUL/5A338924A4E196CACF5BCC7BBA756EE0	3	2	同	同上
KUL/5A338924A4E196CACF5BCC7BBA756EE0	3	3	彦五郎	彦五郎
KUL/5A338924A4E196CACF5BCC7BBA756EE0	3	4	同	同上
KUL/5A338924A4E196CACF5BCC7BBA756EE0	3	5	甚次郎	甚次郎
KUL/5A338924A4E196CACF5BCC7BBA756EE0	3	6	【左丁】　同　《割書：廿二才》孫七	同上《割書：二十二歳》孫七
KUL/5A338924A4E196CACF5BCC7BBA756EE0	3	7	同	同上
KUL/5A338924A4E196CACF5BCC7BBA756EE0	3	8	久次郎	久次郎
KUL/5A338924A4E196CACF5BCC7BBA756EE0	3	9	同	同上
KUL/5A338924A4E196CACF5BCC7BBA756EE0	3	10	松蔵	松蔵
KUL/5A338924A4E196CACF5BCC7BBA756EE0	3	11	同	同上
KUL/5A338924A4E196CACF5BCC7BBA756EE0	3	12	定次	定次
KUL/5A338924A4E196CACF5BCC7BBA756EE0	3	13	同	同上
KUL/5A338924A4E196CACF5BCC7BBA756EE0	3	14	幸助	幸助
KUL/5A338924A4E196CACF5BCC7BBA756EE0	3	15	同	同上
KUL/5A338924A4E196CACF5BCC7BBA756EE0	3	16	才蔵	才蔵
KUL/5A338924A4E196CACF5BCC7BBA756EE0	3	17	【右丁】　同	同上
KUL/5A338924A4E196CACF5BCC7BBA756EE0	3	18	弥吉	弥吉
KUL/5A338924A4E196CACF5BCC7BBA756EE0	3	19	同	同上
KUL/5A338924A4E196CACF5BCC7BBA756EE0	3	20	伊三良	伊三良
KUL/5A338924A4E196CACF5BCC7BBA756EE0	4	1	炊（カシキ）	炊（かしき）
KUL/5A338924A4E196CACF5BCC7BBA756EE0	4	2	源蔵	源蔵
KUL/5A338924A4E196CACF5BCC7BBA756EE0	4	3	〆弐拾壱人	〆21人
KUL/5A338924A4E196CACF5BCC7BBA756EE0	5	1	【左丁】夷華九年録唐泊孫七物語	夷華九年録 唐泊孫七物語
KUL/5A338924A4E196CACF5BCC7BBA756EE0	6	1	筑前国志摩郡唐泊り浦住人青柳　文八といふ者あり	筑前国志摩郡唐泊り浦に住む青柳文八という者がいた。
KUL/5A338924A4E196CACF5BCC7BBA756EE0	7	1	宝暦十二年壬午秋　新に船を作り	宝暦12年（1762年）、壬午（みずのえうま）の年の秋、新たに船を建造し、
KUL/5A338924A4E196CACF5BCC7BBA756EE0	7	2	千六百石積伊勢丸と名付	千六百石積みの伊勢丸と名付けた。
KUL/5A338924A4E196CACF5BCC7BBA756EE0	7	3	舟　頭は文八が一子十右衛門也	船頭は文八の一人息子である十右衛門である。
KUL/5A338924A4E196CACF5BCC7BBA756EE0	7	4	かじ取新七親父分　仁兵衛 	操舵手新七、親父分仁兵衛、
KUL/5A338924A4E196CACF5BCC7BBA756EE0	7	5	炊（カシキ）源蔵其外水夫十六人都て弐拾人乗　組（クミ）	炊（かしき）源蔵、その他の船員16人、都合20人が乗組んだ。
KUL/5A338924A4E196CACF5BCC7BBA756EE0	7	6	同年十月福岡御米を積	同年10月、福岡の御米を積み込んだ。
KUL/5A338924A4E196CACF5BCC7BBA756EE0	7	7	同六日出舟して　大坂御蔵元え運ひ	同年10月6日に船を出し、大坂の御蔵元へ運んだ。
KUL/5A338924A4E196CACF5BCC7BBA756EE0	7	8	極月の末に豊前中津に下り	極月の末に豊前中津に到着した。
KUL/5A338924A4E196CACF5BCC7BBA756EE0	8	1	【右丁】年を越て翌年二月に中津之御米を江戸え積廻	年を越え、翌年の2月に中津の御米を江戸へ積み回した。
KUL/5A338924A4E196CACF5BCC7BBA756EE0	8	2	同四月六日江戸を出舟して奥州に下り津軽に御米を江戸え積運ぶ	同年4月6日、江戸を出航して奥州に下り、津軽で御米を江戸へ積み運んだ。
KUL/5A338924A4E196CACF5BCC7BBA756EE0	8	3	うち未の年もくれて翌《割書：申》年 改元（カイケン）有て明和元年となりぬ	未年（ひつじどし）が暮れ、翌・申年（さるどし）に改元があって明和元年（1764年）となった。
KUL/5A338924A4E196CACF5BCC7BBA756EE0	8	4	同六月初より津軽之材木をつむとて奥州に下り立火の湊にて材木を積出	同年6月初旬から、津軽の材木を積むため奥州に下り、立火の湊で材木を積み出した。
KUL/5A338924A4E196CACF5BCC7BBA756EE0	8	5	江戸え運ばん為同年七月廿日此所を出舟す	江戸へ運ぶため、同年7月20日にこの場所を出航した。
KUL/5A338924A4E196CACF5BCC7BBA756EE0	8	6	順風にて十四五 里（リ）沖に出ける時何とか	順風に乗って14、15里ほど沖合いに出た時、どうしたことか。
KUL/5A338924A4E196CACF5BCC7BBA756EE0	9	1	【左丁】したりけん炊の源蔵《割書：今年｜十九才》	不運にも炊の源蔵（今年十九歳）が、
KUL/5A338924A4E196CACF5BCC7BBA756EE0	9	2	吹出帆足にとられてやぐらの上よりうづまく浪に落出ける	吹き上げられた風で帆足を捉えられ、櫓の上から渦巻く波の中へ落ちてしまった。
KUL/5A338924A4E196CACF5BCC7BBA756EE0	9	3	是はと船中立さわき■を投（ナケ）こみ板を投入水 	「これは！」と船中が騒然となり、[■]を投げ込み、板を水に放り込んだ。
KUL/5A338924A4E196CACF5BCC7BBA756EE0	9	4	竿（サヲ）を流しおよげ〳〵と声をかけ	竿を流して「泳げ、泳げ！」と声をかけ続けた。
KUL/5A338924A4E196CACF5BCC7BBA756EE0	9	5	扨帆をおろし大勢がうちのり漕行てたすけんととやかくとする内に	やがて帆を下ろし、大勢が小舟に乗り込んで漕ぎ出し救助を試みるが、
KUL/5A338924A4E196CACF5BCC7BBA756EE0	9	6	はるかにへたたりけれは海上そこよ爰よとたづねけれ共浮める姿も見へされは力なくたすけ得すして橋舟は空しく	遥か沖へ流されたため海上をくまなく探すも浮かぶ姿は見えず、力尽きて救助できず、救出用の小舟は空しく戻るほかなかった。
KUL/5A338924A4E196CACF5BCC7BBA756EE0	10	1	【右丁】	
KUL/5A338924A4E196CACF5BCC7BBA756EE0	10	2	漕（コギ）戻し皆々おしみ嘆けども其かいなくまたもや帆を揚て風に任て走り行其■南部の才浦といふ所に着けり	漕ぎ戻して乗組員全員が嘆き悲しんだが、その甲斐なく、再び帆を揚げて風任せに進み、ついに■南部の才浦という場所に着いた。
KUL/5A338924A4E196CACF5BCC7BBA756EE0	10	3	爰に十日余り滞留して僧を頼て源蔵なき跡をねん頃にとむらいける	ここに十日余り滞留し、僧を頼って源蔵の亡き後を丁寧に弔った。
KUL/5A338924A4E196CACF5BCC7BBA756EE0	10	4	扨源蔵かかわり此所にて定五郎と言者をやとい出て七月末迄滞留して日和を待	さて源蔵に関わり、この地で定五郎という者を雇い出し、七月末まで滞留して日和を待った。
KUL/5A338924A4E196CACF5BCC7BBA756EE0	10	5	八月二日才浦を出船して松前内箱立といふ湊着けり	8月2日に才浦を出航し、松前内の箱立という湊に着いた。
KUL/5A338924A4E196CACF5BCC7BBA756EE0	10	6	空のけしきよからず廿日計り滞舟して有ける	空模様が良くなく、二十日ほど船を滞在させていた。
KUL/5A338924A4E196CACF5BCC7BBA756EE0	10	7	此滞	此滞
KUL/5A338924A4E196CACF5BCC7BBA756EE0	11	1	【左丁】	
KUL/5A338924A4E196CACF5BCC7BBA756EE0	11	2	舟のうち長作といふ若者船の銀をぬすみて出 奔（ホン）せり	船の中の長作という若者が、船の銀を盗んで出奔（ホン）した。
KUL/5A338924A4E196CACF5BCC7BBA756EE0	11	3	しばらく尋けれども行へ知れす	しばらく探したが、行方が知れなかった。
KUL/5A338924A4E196CACF5BCC7BBA756EE0	11	4	斯て天気も直りしかば同廿日箱立を出船して奥州仙台のほとり小渕の湊に着たり	こうして天気も回復したので、同20日に箱立を出航し、奥州仙台の辺りにある小渕の湊に到着した。
KUL/5A338924A4E196CACF5BCC7BBA756EE0	11	5	爰にて源蔵が卅五日もとむらいける	ここで源蔵の三十五日の忌みを営んだ。
KUL/5A338924A4E196CACF5BCC7BBA756EE0	12	1	出奔したる長作がかわりに近辺に名を得たる相撲取 金槌（カナツチ）長太といふ剛力の若者をやといける	出奔した長作の代わりに、近隣で名の知れた相撲取り金槌（かなづち）長太という剛力の若者を雇った。
KUL/5A338924A4E196CACF5BCC7BBA756EE0	13	1	斯して人数は揃けれとも早秋の風	こうして乗組員数は揃えたものの、初秋の嵐。
KUL/5A338924A4E196CACF5BCC7BBA756EE0	13	2	【右丁】	
KUL/5A338924A4E196CACF5BCC7BBA756EE0	14	1	つよけれは是をよけん為十月初まて小渕之湊に滞留す	風が強かったため、これを避けるために十月初めまで小渕の湊に滞留した。
KUL/5A338924A4E196CACF5BCC7BBA756EE0	14	2	十月十四日の夜水夫弥吉と言ものふしぎの夢を見る	10月14日の夜、水夫の弥吉という者が不思議な夢を見た。
KUL/5A338924A4E196CACF5BCC7BBA756EE0	14	3	其姿内裏きさきのごとく十弐ひとへを召れたる御方どらの間の神棚ゟ立出たまひ	その姿は内裏后のように十二単を召した女性たちの間の神棚からお立ち出になり、
KUL/5A338924A4E196CACF5BCC7BBA756EE0	14	4	我わ小渕の湊に待べしとの給ひ	「我は小渕の湊に待つべきである」とお告げになり、
KUL/5A338924A4E196CACF5BCC7BBA756EE0	14	5	岡の方へ飛去給ふ	岡の方へ飛び去っていかれた。
KUL/5A338924A4E196CACF5BCC7BBA756EE0	14	6	異香（イカウ）四方にくんじてゆめはさめにけり	異香が四方に漂って、夢は覚めてしまった。
KUL/5A338924A4E196CACF5BCC7BBA756EE0	14	7	弥吉不思議に思ひけれとも若き者の	弥吉は不思議に思ったものの、若い者の
KUL/5A338924A4E196CACF5BCC7BBA756EE0	15	1	【左丁】	
KUL/5A338924A4E196CACF5BCC7BBA756EE0	15	2	なまじいなる事を言出してちやうろ■【へヵ＝嘲弄】しられんも口をしかるべし	中途半端なことを言い出して嘲弄されるのも、口を慎むべきだと思った。
KUL/5A338924A4E196CACF5BCC7BBA756EE0	15	3	殊更明朝は舟を出すへきとて綱手の用意もある中にいらさる事をいふまじと思ひ留りぬ	特に明朝は舟を出すべきだと綱手の準備も整っている中で、余計なことを言うまいと思い留まった。
KUL/5A338924A4E196CACF5BCC7BBA756EE0	15	4	是後弥吉ものかたりしける	その後、弥吉はこのことを語ったという。
KUL/5A338924A4E196CACF5BCC7BBA756EE0	16	1	小渕湊に船を入るには奥州の東に当つて金花山の際廻りて入湊なり	小渕湊に船を入れるには、奥州の東に位置する金花山のあたりを回り込んで入港するのである。
KUL/5A338924A4E196CACF5BCC7BBA756EE0	16	2	此金花山は地方より海上三里沖に有	この金花山は陸地から海上三里沖に位置している。
KUL/5A338924A4E196CACF5BCC7BBA756EE0	16	3	嶋の廻り五里有	島の周囲は五里ある。
